method;num_threads;length;elapsed_time
atomics;9;10000;0.172199999724398
locks;9;10000;0.172600000041712
builtin;10;10000;0.203499999770429
critical;10;10000;0.188399999842659
atomics;10;10000;0.189999999747670
locks;10;10000;0.189899999895715
builtin;11;10000;0.217400000110501
critical;11;10000;0.208500000098866
atomics;11;10000;0.208200000088254
locks;11;10000;0.210800000331801
builtin;12;10000;0.241000000187341
critical;12;10000;0.225700000100915
atomics;12;10000;0.232599999890226
locks;12;10000;0.237199999901350
builtin;13;10000;0.275599999895348
critical;13;10000;0.258099999882688
atomics;13;10000;0.874299999850336
locks;13;10000;0.262999999904423
builtin;14;10000;0.298999999813532
critical;14;10000;0.264799999968091
atomics;14;10000;0.274600000011560
locks;14;10000;0.273099999958504
builtin;15;10000;0.323799999932817
critical;15;10000;0.153699999827950
atomics;15;10000;0.287500000013097
locks;15;10000;0.290800000129821
builtin;2;1000000;1.042599999891536
critical;2;1000000;1.017400000364432
atomics;2;1000000;0.996600000235048
locks;2;1000000;0.985199999831821
builtin;3;1000000;0.605400000040390
critical;3;1000000;0.650099999802478
atomics;3;1000000;0.648899999760033
locks;3;1000000;0.648400000045513
builtin;4;1000000;0.452999999652093
critical;4;1000000;0.493300000016461
atomics;4;1000000;0.492499999836582
locks;4;1000000;0.487399999656191
builtin;5;1000000;0.567699999919569
critical;5;1000000;0.569400000131282
atomics;5;1000000;0.518800000008923
locks;5;1000000;0.526599999830069
builtin;6;1000000;0.484299999698123
critical;6;1000000;0.523799999882613
atomics;6;1000000;0.428199999987555
locks;6;1000000;0.483499999972992
builtin;7;1000000;0.438499999745545
critical;7;1000000;0.411399999848072
atomics;7;1000000;0.373100000160775
locks;7;1000000;0.375600000097620
builtin;8;1000000;0.369899999896006
critical;8;1000000;0.358100000084960
atomics;8;1000000;0.325799999700394
locks;8;1000000;0.328400000398688
builtin;9;1000000;0.534100000095350
critical;9;1000000;0.746100000014849
atomics;9;1000000;0.799700000243320
locks;9;1000000;0.790800000231684
builtin;10;1000000;1.032900000154768
critical;10;1000000;0.897200000053999
atomics;10;1000000;0.760799999625306
locks;10;1000000;0.766900000144233
builtin;11;1000000;0.762599999688973
critical;11;1000000;0.739099999918835
atomics;11;1000000;0.727500000266446
locks;11;1000000;0.776899999891612
builtin;12;1000000;0.646900000447204
critical;12;1000000;0.723999999991065
atomics;12;1000000;0.705799999650480
locks;12;1000000;0.714400000106252
builtin;13;1000000;0.740899999982503
critical;13;1000000;0.612700000147015
atomics;13;1000000;0.586199999816017
locks;13;1000000;0.600200000008044
builtin;14;1000000;1.144500000009430
critical;14;1000000;0.670399999762594
atomics;14;1000000;0.708300000042072
locks;14;1000000;0.697699999818724
builtin;15;1000000;0.753799999984039
critical;15;1000000;0.759499999730906
atomics;15;1000000;0.657500000215805
locks;15;1000000;0.724399999853631
builtin;2;100;0.270500000169704
critical;2;100;0.001399999746354
atomics;2;100;0.000699999873177
locks;2;100;0.000699999873177
builtin;3;100;0.052800000048592
critical;3;100;0.001099999735743
atomics;3;100;0.000700000327924
locks;3;100;0.000999999883788
builtin;4;100;0.024299999950017
critical;4;100;0.000999999883788
atomics;4;100;0.000699999873177
locks;4;100;0.001200000042445
builtin;5;100;0.027799999770650
critical;5;100;0.001299999894400
atomics;5;100;0.000900000031834
locks;5;100;0.001200000042445
builtin;6;100;0.026500000330998
critical;6;100;0.001399999746354
atomics;6;100;0.000800000179879
locks;6;100;0.001300000349147
builtin;7;100;0.034000000141532
critical;7;100;0.001800000063668
atomics;7;100;0.000999999883788
locks;7;100;0.001699999756966
builtin;8;100;0.030100000003586
critical;8;100;0.001599999905011
atomics;8;100;0.001099999735743
locks;8;100;0.001899999915622
builtin;9;100;0.108900000213907
critical;9;100;0.171799999861832
atomics;9;100;0.169299999924988
locks;9;100;0.168999999914377
builtin;10;100;0.221999999666878
critical;10;100;0.107500000012806
atomics;10;100;0.199699999939185
locks;10;100;0.200099999801751
builtin;11;100;0.237100000049395
critical;11;100;0.210000000151922
atomics;11;100;0.205899999855319
locks;11;100;0.205300000288844
builtin;12;100;0.246699999934208
critical;12;100;0.227300000005926
atomics;12;100;0.228200000037759
locks;12;100;0.227900000027148
builtin;13;100;0.270900000032270
critical;13;100;0.250000000050932
atomics;13;100;0.247599999966042
locks;13;100;0.250799999776063
builtin;14;100;0.299199999972188
critical;14;100;0.271200000042882
atomics;14;100;0.268600000254082
locks;14;100;0.306999999793334
builtin;15;100;0.318000000333996
critical;15;100;0.289999999949941
atomics;15;100;0.290499999664462
locks;15;100;0.291000000288477
builtin;2;10000;0.168999999914377
critical;2;10000;0.011800000265794
atomics;2;10000;0.010499999916647
locks;2;10000;0.010400000064692
builtin;3;10000;0.032000000373955
critical;3;10000;0.007600000117236
atomics;3;10000;0.006999999641266
locks;3;10000;0.007300000106625
builtin;4;10000;0.029700000141020
critical;4;10000;0.005899999905523
atomics;4;10000;0.005699999746867
locks;4;10000;0.005800000053569
builtin;5;10000;0.031100000342121
critical;5;10000;0.006499999926746
atomics;5;10000;0.005800000053569
locks;5;10000;0.005899999905523
builtin;6;10000;0.030100000003586
critical;6;10000;0.005400000191003
atomics;6;10000;0.005099999725644
locks;6;10000;0.005200000032346
builtin;7;10000;0.040099999750964
critical;7;10000;0.004900000021735
atomics;7;10000;0.004500000159169
locks;7;10000;0.005000000328437
builtin;8;10000;0.033499999972264
critical;8;10000;0.004900000021735
atomics;8;10000;0.004099999841856
locks;8;10000;0.004499999704421
builtin;9;10000;0.111800000013318
critical;9;10000;0.186400000075082
atomics;9;10000;0.178599999799189
locks;9;10000;0.177800000074058
builtin;10;10000;0.219099999867467
critical;10;10000;0.192500000139262
atomics;10;10000;0.191600000107428
locks;10;10000;0.195100000382809
builtin;11;10000;0.252499999987776
critical;11;10000;0.115299999833951
