num_threads;method;n_rows;n_cols;elapsed_time
32;reduction;1000;1000;0.89219999995293619577
1;single;10;10;0.00120000004244502634
2;critical_section;10;10;0.00139999997372797225
2;reduction;10;10;0.00109999996311671566
3;critical_section;10;10;0.00199999999495048542
3;reduction;10;10;0.00109999996311671566
4;critical_section;10;10;0.00169999998433922883
4;reduction;10;10;0.00129999989439966157
5;critical_section;10;10;0.00149999982568260748
5;reduction;10;10;0.00109999996311671566
6;critical_section;10;10;0.00139999997372797225
6;reduction;10;10;0.00109999996311671566
7;critical_section;10;10;0.00150000005305628292
7;reduction;10;10;0.00120000004244502634
8;critical_section;10;10;0.00159999990501091816
8;reduction;10;10;0.00109999996311671566
9;critical_section;10;10;0.00150000005305628292
9;reduction;10;10;0.00120000004244502634
10;critical_section;10;10;0.00159999990501091816
10;reduction;10;10;0.00110000019049039111
11;critical_section;10;10;0.00149999982568260748
11;reduction;10;10;0.00109999996311671566
12;critical_section;10;10;0.00150000005305628292
12;reduction;10;10;0.00109999996311671566
13;critical_section;10;10;0.00150000005305628292
13;reduction;10;10;0.00110000019049039111
14;critical_section;10;10;0.00150000005305628292
14;reduction;10;10;0.00109999996311671566
15;critical_section;10;10;0.00139999997372797225
15;reduction;10;10;0.00120000004244502634
16;critical_section;10;10;0.00129999989439966157
16;reduction;10;10;0.00109999996311671566
17;critical_section;10;10;0.00159999990501091816
17;reduction;10;10;0.00120000004244502634
18;critical_section;10;10;0.00139999997372797225
18;reduction;10;10;0.00109999996311671566
19;critical_section;10;10;0.00139999997372797225
19;reduction;10;10;0.00109999996311671566
20;critical_section;10;10;0.00139999997372797225
20;reduction;10;10;0.00109999996311671566
21;critical_section;10;10;0.00099999988378840499
21;reduction;10;10;0.00130000012177333701
22;critical_section;10;10;0.00139999997372797225
22;reduction;10;10;0.00120000004244502634
23;critical_section;10;10;0.02919999997175182216
23;reduction;10;10;0.00109999996311671566
24;critical_section;10;10;0.00129999989439966157
24;reduction;10;10;0.00109999996311671566
25;critical_section;10;10;0.00129999989439966157
25;reduction;10;10;0.00109999996311671566
26;critical_section;10;10;0.00150000005305628292
26;reduction;10;10;0.00100000011116208043
27;critical_section;10;10;0.00139999997372797225
27;reduction;10;10;0.00109999996311671566
28;critical_section;10;10;0.00150000005305628292
28;reduction;10;10;0.00109999996311671566
29;critical_section;10;10;0.00150000005305628292
29;reduction;10;10;0.00109999996311671566
30;critical_section;10;10;0.00150000005305628292
30;reduction;10;10;0.00100000011116208043
31;critical_section;10;10;0.00160000013238459360
31;reduction;10;10;0.00109999996311671566
32;critical_section;10;10;0.00149999982568260748
32;reduction;10;10;0.00109999996311671566
1;single;100;100;0.05480000004354224075
2;critical_section;100;100;0.01070000007530325092
2;reduction;100;100;0.01059999999597494025
3;critical_section;100;100;0.01050000014402030502
3;reduction;100;100;0.01029999998536368366
4;critical_section;100;100;0.01040000006469199434
4;reduction;100;100;0.01029999998536368366
5;critical_section;100;100;0.01029999998536368366
5;reduction;100;100;0.01029999998536368366
6;critical_section;100;100;0.01040000006469199434
6;reduction;100;100;0.01029999998536368366
7;critical_section;100;100;0.01029999998536368366
7;reduction;100;100;0.01019999990603537299
8;critical_section;100;100;0.01029999998536368366
8;reduction;100;100;0.01029999998536368366
9;critical_section;100;100;0.01040000006469199434
9;reduction;100;100;0.01499999984844180290
10;critical_section;100;100;0.01039999983731831890
10;reduction;100;100;0.01029999998536368366
11;critical_section;100;100;0.01040000006469199434
11;reduction;100;100;0.01029999998536368366
12;critical_section;100;100;0.01029999998536368366
12;reduction;100;100;0.01019999990603537299
13;critical_section;100;100;0.01040000006469199434
13;reduction;100;100;0.01019999990603537299
14;critical_section;100;100;0.01029999998536368366
14;reduction;100;100;0.01029999998536368366
15;critical_section;100;100;0.01029999998536368366
15;reduction;100;100;0.01029999998536368366
16;critical_section;100;100;0.01040000006469199434
16;reduction;100;100;0.01029999998536368366
17;critical_section;100;100;0.01040000006469199434
