num_threads;method;array_size;elapsed_time
18;critical_section;100;0.36520000003292807378
18;reduction;100;0.35980000006929913070
19;critical_section;100;0.54680000016560370568
19;reduction;100;0.39000000015221303329
20;critical_section;100;0.40930000000116706360
20;reduction;100;0.39730000003146415111
21;critical_section;100;0.44139999999970314093
21;reduction;100;0.40480000006937189028
22;critical_section;100;0.45409999984258320183
22;reduction;100;0.57539999988875933923
23;critical_section;100;0.50420000002304732334
23;reduction;100;0.55049999991751974449
24;critical_section;100;0.61970000001565495040
24;reduction;100;0.50019999980577267706
25;critical_section;100;0.55720000000292202458
25;reduction;100;0.53879999995842808858
26;critical_section;100;0.55199999997057602741
26;reduction;100;0.50870000018221617211
27;critical_section;100;0.59329999999135907274
27;reduction;100;0.52860000005239271559
28;critical_section;100;0.59899999996559927240
28;reduction;100;0.56189999986600014381
29;critical_section;100;0.62409999986812181305
29;reduction;100;0.57140000012623204384
30;critical_section;100;0.63460000001214211807
30;reduction;100;0.60180000014042889234
31;critical_section;100;0.64049999991766526364
31;reduction;100;0.31510000007983762771
32;critical_section;100;0.68170000008649367373
32;reduction;100;0.66670000001067819539
1;single;100000;0.11739999990822980180
2;critical_section;100000;0.43970000001536391210
2;reduction;100000;0.09109999996326223481
3;critical_section;100000;0.10550000001785519999
3;reduction;100000;0.07589999995616381057
4;critical_section;100000;0.08210000009967188817
4;reduction;100000;0.05669999995916441549
5;critical_section;100000;0.07019999998192361090
5;reduction;100000;0.04569999987324990798
6;critical_section;100000;0.06439999992835510056
6;reduction;100000;0.03849999984595342539
7;critical_section;100000;0.06609999991269432940
7;reduction;100000;0.03359999982421868481
8;critical_section;100000;0.06259999986468756106
8;reduction;100000;0.02940000013040844351
9;critical_section;100000;0.08800000000519503374
9;reduction;100000;0.19399999996494443621
10;critical_section;100000;0.24429999984931782819
10;reduction;100000;0.21300000003066088539
11;critical_section;100000;0.25619999996706610546
11;reduction;100000;0.22669999998470302671
12;critical_section;100000;0.27569999997467675712
12;reduction;100000;0.24570000005041947588
13;critical_section;100000;0.30440000000453437679
13;reduction;100000;0.14850000002297747415
14;critical_section;100000;0.29210000002422020771
14;reduction;100000;0.28229999998075072654
15;critical_section;100000;0.31609999996362603270
15;reduction;100000;0.29949999998279963620
16;critical_section;100000;0.33770000004551548045
16;reduction;100000;0.31899999999041028786
17;critical_section;100000;0.34690000006776244845
17;reduction;100000;0.34000000005107722245
18;critical_section;100000;0.37560000009762006812
18;reduction;100000;0.35739999998440907802
19;critical_section;100000;0.41020000003300083335
19;reduction;100000;0.37569999994957470335
20;critical_section;100000;0.43060000007244525477
20;reduction;100000;0.39130000004661269486
21;critical_section;100000;0.41249999981118889991
21;reduction;100000;0.46020000013413664419
22;critical_section;100000;0.45920000002297456376
22;reduction;100000;0.48609999998916464392
23;critical_section;100000;0.54230000000643485691
23;reduction;100000;0.44189999994159734342
24;critical_section;100000;0.46700000007149355952
24;reduction;100000;0.44990000014877296053
25;critical_section;100000;0.51749999988714989740
25;reduction;100000;0.52060000007259077393
26;critical_section;100000;0.54739999995945254341
26;reduction;100000;0.52759999994123063516
27;critical_section;100000;0.58489999992161756381
27;reduction;100000;0.28650000012930831872
28;critical_section;100000;0.57690000016918929759
28;reduction;100000;0.56679999988773488440
29;critical_section;100000;0.64209999982267618179
29;reduction;100000;0.56970000014189281501
30;critical_section;100000;0.63060000002224114724
30;reduction;100000;0.59749999991254298948
31;critical_section;100000;0.64189999989139323588
31;reduction;100000;0.61290000007829803508
32;critical_section;100000;0.66120000019509461708
32;reduction;100000;0.64139999994949903339
1;single;100000000;129.04239999988931231201
2;critical_section;100000000;89.58600000005390029401
2;reduction;100000000;90.64920000014353718143
3;critical_section;100000000;63.16209999999955471139
3;reduction;100000000;59.65509999987261835486
4;critical_section;100000000;45.65640000009807408787
4;reduction;100000000;46.53389999998580606189
5;critical_section;100000000;38.76270000000658910722
5;reduction;100000000;43.80050000008850474842
6;critical_section;100000000;37.18019999996613478288
6;reduction;100000000;37.05680000007305352483
7;critical_section;100000000;31.00269999981719593052
7;reduction;100000000;33.53179999999156279955
8;critical_section;100000000;29.12340000011681695469
8;reduction;100000000;29.57919999994373938534
9;critical_section;100000000;34.69370000016169797163
9;reduction;100000000;41.99359999984153546393
10;critical_section;100000000;36.87999999988278432284
10;reduction;100000000;35.07770000010168587323
11;critical_section;100000000;33.68320000004132452887
11;reduction;100000000;34.66350000007878406905
12;critical_section;100000000;31.70509999995374528226
12;reduction;100000000;36.17929999995794787537
13;critical_section;100000000;34.29640000013023382053
13;reduction;100000000;35.54490000010446237866
14;critical_section;100000000;32.48989999997320410330
14;reduction;100000000;32.34509999992951634340
15;critical_section;100000000;33.06839999982003064360
15;reduction;100000000;30.03639999997176346369
16;critical_section;100000000;33.28290000013112148736
16;reduction;100000000;32.97649999990426294971
17;critical_section;100000000;32.84200000007331254892
17;reduction;100000000;35.07739999986370094121
18;critical_section;100000000;35.42210000000522995833
18;reduction;100000000;36.76700000005439505912
19;critical_section;100000000;32.09850000007463677321
19;reduction;100000000;34.72149999993234814610
20;critical_section;100000000;31.92089999993186211213
20;reduction;100000000;32.47210000017730635591
21;critical_section;100000000;33.28179999994063109625
21;reduction;100000000;32.46269999999640276656
22;critical_section;100000000;30.96570000002429878805
22;reduction;100000000;31.78499999989981006365
23;critical_section;100000000;31.41780000009930517990
23;reduction;100000000;30.91880000010860385373
24;critical_section;100000000;30.57379999995646358002
24;reduction;100000000;32.40189999996800906956
25;critical_section;100000000;33.44450000008691858966
25;reduction;100000000;33.97959999983868328854
26;critical_section;100000000;34.48370000000977597665
26;reduction;100000000;35.19669999991492659319
27;critical_section;100000000;32.57140000005165347829
27;reduction;100000000;32.96439999985523172654
28;critical_section;100000000;32.59229999980561842676
28;reduction;100000000;34.21899999989364005160
29;critical_section;100000000;31.19209999999839055818
29;reduction;100000000;32.31029999983547895681
30;critical_section;100000000;33.07739999991099466570
30;reduction;100000000;36.53669999994235695340
31;critical_section;100000000;31.59890000006271293387
31;reduction;100000000;31.97150000005422043614
32;critical_section;100000000;37.01319999981933506206
32;reduction;100000000;33.30809999988559866324
1;single;100;0.00030000001061125658
2;critical_section;100;0.37620000011884258129
2;reduction;100;0.00169999998433922883
3;critical_section;100;0.03900000001522130333
3;reduction;100;0.00100000011116208043
4;critical_section;100;0.08530000013706739992
4;reduction;100;0.00129999989439966157
5;critical_section;100;0.02680000011423544493
5;reduction;100;0.00100000011116208043
6;critical_section;100;0.02619999986563925631
6;reduction;100;0.00120000004244502634
7;critical_section;100;0.02679999988686176948
7;reduction;100;0.00130000012177333701
8;critical_section;100;0.03670000000965956133
8;reduction;100;0.00109999996311671566
9;critical_section;100;0.11119999999209539965
9;reduction;100;0.17719999982546141837
10;critical_section;100;0.21800000013172393665
10;reduction;100;0.18150000005334732123
11;critical_section;100;0.24030000008679053281
11;reduction;100;0.11510000013004173525
12;critical_section;100;0.24250000001302396413
12;reduction;100;0.21670000000995059963
13;critical_section;100;0.26699999989432399161
13;reduction;100;0.25410000012016098481
14;critical_section;100;0.27589999990595970303
14;reduction;100;0.26800000000548607204
15;critical_section;100;0.30769999989388452377
15;reduction;100;0.28769999994437966961
16;critical_section;100;0.33350000012433156371
16;reduction;100;0.30969999988883500919
17;critical_section;100;0.35860000002685410436
17;reduction;100;0.33000000007632479537
18;critical_section;100;0.38050000011935480870
18;reduction;100;0.18839999984265887178
19;critical_section;100;0.40560000002187734935
19;reduction;100;0.36970000019209692255
20;critical_section;100;0.41510000005473557394
20;reduction;100;0.38820000008854549378
21;critical_section;100;0.43159999995623365976
21;reduction;100;0.40749999993749952409
22;critical_section;100;0.45219999992696102709
22;reduction;100;0.43789999995169637259
23;critical_section;100;0.47100000006139453035
23;reduction;100;0.60770000004595203791
24;critical_section;100;0.50060000012308591977
24;reduction;100;0.47910000012052478269
25;critical_section;100;0.51470000016706762835
25;reduction;100;0.49560000002202286851
26;critical_section;100;0.53929999990032229107
26;reduction;100;0.50980000014533288777
27;critical_section;100;0.56059999997160048224
27;reduction;100;0.54189999991649528965
28;critical_section;100;0.58570000010149669833
28;reduction;100;0.54070000010142393876
29;critical_section;100;0.60600000006161280908
29;reduction;100;0.56719999997767445166
30;critical_section;100;0.63380000005963665899
30;reduction;100;0.59600000008686038200
31;critical_section;100;0.64130000009754439816
31;reduction;100;0.59660000010808289517
32;critical_section;100;0.66190000006827176549
32;reduction;100;0.63250000016523699742
1;single;100000;0.11349999999765714165
2;critical_section;100000;0.40880000005927286111
2;reduction;100000;0.09109999996326223481
3;critical_section;100000;0.07179999988693452906
3;reduction;100000;0.06370000005517795216
4;critical_section;100000;0.06239999993340461515
4;reduction;100000;0.04459999991013319232
5;critical_section;100000;0.09679999993750243448
5;reduction;100000;0.04579999995257821865
6;critical_section;100000;0.06609999991269432940
6;reduction;100000;0.03820000006271584425
7;critical_section;100000;0.07279999999809660949
7;reduction;100000;0.03340000012030941434
8;critical_section;100000;0.06120000011833326425
8;reduction;100000;0.02939999990303476807
9;critical_section;100000;1.55459999996310216375
9;reduction;100000;0.19650000012916279957
10;critical_section;100000;0.22880000005898182280
10;reduction;100000;0.21179999998821585905
11;critical_section;100000;0.24910000001909793355
11;reduction;100000;0.22680000006403133739
12;critical_section;100000;0.27369999997972627170
12;reduction;100000;0.23799999985385511536
13;critical_section;100000;0.32319999991159420460
13;reduction;100000;0.29289999997672566678
14;critical_section;100000;0.31609999996362603270
14;reduction;100000;0.29119999999238643795
15;critical_section;100000;0.33680000001368171070
15;reduction;100000;0.33899999993991514202
16;critical_section;100000;0.35329999991517979652
16;reduction;100000;0.32169999985853792168
17;critical_section;100000;0.36679999993793899193
17;reduction;100000;0.19670000006044574548
18;critical_section;100000;0.37730000008195929695
18;reduction;100000;0.36030000001119333319
19;critical_section;100000;0.39470000001529115252
19;reduction;100000;0.37799999995513644535
20;critical_section;100000;0.41720000012901437003
20;reduction;100000;0.39900000001580337994
21;critical_section;100000;0.43879999998353014234
21;reduction;100000;0.41609999993852397893
22;critical_section;100000;0.48549999996794213075
22;reduction;100000;0.43660000005729671102
23;critical_section;100000;0.47229999995579419192
23;reduction;100000;0.45700000009674113244
24;critical_section;100000;0.51180000014028337318
