num_threads;method;n_rows;n_cols;elapsed_time
29;reduction;100;100;0.66719999995257239789
29;nested;100;100;0.60149999990244396031
30;reduction;100;100;0.65650000033201649785
30;nested;100;100;0.31289999969885684550
31;reduction;100;100;0.66870000046037603170
31;nested;100;100;0.62380000053963158280
32;reduction;100;100;0.66049999986717011780
32;nested;100;100;0.63349999982165172696
1;single;1000;1000;4.10080000074231065810
2;reduction;1000;1000;2.25219999992987141013
2;nested;1000;1000;2.04740000117453746498
3;reduction;1000;1000;1.59419999909005127847
3;nested;1000;1000;1.38249999872641637921
4;reduction;1000;1000;1.07910000042465981096
4;nested;1000;1000;1.03239999953075312078
5;reduction;1000;1000;1.46270000004733446985
5;nested;1000;1000;1.46870000025955960155
6;reduction;1000;1000;1.22480000027280766517
6;nested;1000;1000;1.28989999939221888781
7;reduction;1000;1000;1.30089999947813339531
7;nested;1000;1000;5.18340000053285621107
8;reduction;1000;1000;1.55319999976200051606
8;nested;1000;1000;1.13420000161568168551
9;reduction;1000;1000;1.64799999947717878968
9;nested;1000;1000;1.77129999974567908794
10;reduction;1000;1000;1.44629999886092264205
10;nested;1000;1000;1.47939999988011550158
11;reduction;1000;1000;1.43629999911354389042
11;nested;1000;1000;1.64159999985713511705
12;reduction;1000;1000;1.46320000021660234779
12;nested;1000;1000;1.29290000040782615542
13;reduction;1000;1000;1.61180000031890813261
13;nested;1000;1000;1.33020000066608190536
14;reduction;1000;1000;1.44030000046768691391
14;nested;1000;1000;1.34819999948376789689
15;reduction;1000;1000;1.89489999866054859012
15;nested;1000;1000;1.63229999998293351382
16;reduction;1000;1000;1.44159999945259187371
16;nested;1000;1000;1.53830000090238172561
17;reduction;1000;1000;1.52890000026673078537
17;nested;1000;1000;1.61970000044675543904
18;reduction;1000;1000;1.42570000025443732738
18;nested;1000;1000;1.53870000031020026654
19;reduction;1000;1000;1.61380000099597964436
19;nested;1000;1000;1.76559999999881256372
20;reduction;1000;1000;1.74949999927775934339
20;nested;1000;1000;1.51990000085788778961
21;reduction;1000;1000;1.63380000049073714763
21;nested;1000;1000;1.33379999897442758083
22;reduction;1000;1000;1.55679999988933559507
22;nested;1000;1000;1.50209999992512166500
23;reduction;1000;1000;1.30300000091665424407
23;nested;1000;1000;1.48900000021967571229
24;reduction;1000;1000;1.47199999992153607309
24;nested;1000;1000;1.63070000053266994655
25;reduction;1000;1000;1.62640000053215771914
25;nested;1000;1000;1.50850000136415474117
26;reduction;1000;1000;1.71670000054291449487
26;nested;1000;1000;1.47850000030302908272
27;reduction;1000;1000;1.49079999937384855002
27;nested;1000;1000;1.40370000008260831237
28;reduction;1000;1000;1.31460000011429656297
28;nested;1000;1000;1.53030000001308508217
29;reduction;1000;1000;1.28489999951852951199
29;nested;1000;1000;1.58939999892027117312
30;reduction;1000;1000;1.43030000072030816227
30;nested;1000;1000;1.56200000128592364490
31;reduction;1000;1000;1.42910000067786313593
31;nested;1000;1000;1.35170000066864304245
32;reduction;1000;1000;1.49059999966993927956
32;nested;1000;1000;1.50149999899440445006
1;single;10;10;0.00079999881563708186
2;reduction;10;10;0.34070000037900172174
2;nested;10;10;0.00739999995857942849
3;reduction;10;10;0.03480000123090576380
3;nested;10;10;0.00329999966197647154
4;reduction;10;10;0.03160000051138922572
4;nested;10;10;0.00329999966197647154
5;reduction;10;10;0.24980000125651713461
5;nested;10;10;0.00259999978879932314
6;reduction;10;10;0.02700000004551839083
6;nested;10;10;0.00210000143852084875
7;reduction;10;10;0.02680000034160912037
7;nested;10;10;0.00249999902734998614
8;reduction;10;10;0.02659999881871044636
8;nested;10;10;0.00240000008489005268
9;reduction;10;10;0.11190000077476724982
9;nested;10;10;0.17800000023271422833
10;reduction;10;10;0.21910000032221432775
10;nested;10;10;0.18300000010640360415
11;reduction;10;10;0.24180000036722049117
11;nested;10;10;0.21399999968707561493
12;reduction;10;10;0.25730000015755649656
12;nested;10;10;0.23139999939303379506
13;reduction;10;10;0.31649999982619192451
13;nested;10;10;0.26009999965026509017
14;reduction;10;10;0.29870000071241520345
14;nested;10;10;0.27109999973617959768
15;reduction;10;10;0.32029999965743627399
15;nested;10;10;0.29189999986556358635
16;reduction;10;10;0.34559999949124176055
16;nested;10;10;0.16670000150043051690
17;reduction;10;10;0.35260000004200264812
17;nested;10;10;0.32709999868529848754
18;reduction;10;10;0.36779999936698004603
18;nested;10;10;0.36480000017036218196
19;reduction;10;10;0.40329999865207355469
19;nested;10;10;0.36609999915526714176
20;reduction;10;10;0.49609999950916972011
20;nested;10;10;0.38309999945340678096
21;reduction;10;10;0.49380000018572900444
21;nested;10;10;0.43159999950148630887
22;reduction;10;10;0.47889999950712081045
22;nested;10;10;0.43489999916346278042
23;reduction;10;10;0.49190000027010682970
23;nested;10;10;0.45970000064698979259
24;reduction;10;10;0.50860000010288786143
24;nested;10;10;0.48009999954956583679
25;reduction;10;10;0.53069999921717680991
25;nested;10;10;0.50019999980577267706
26;reduction;10;10;0.54679999993823003024
26;nested;10;10;0.51680000069609377533
27;reduction;10;10;0.58939999871654435992
27;nested;10;10;0.52379999942786525935
28;reduction;10;10;0.59189999956288374960
28;nested;10;10;0.54920000002312008291
29;reduction;10;10;0.60330000087560620159
29;nested;10;10;0.57560000095691066235
30;reduction;10;10;0.62599999910162296146
30;nested;10;10;0.61409999943862203509
31;reduction;10;10;0.65200000062759499997
31;nested;10;10;0.60200000007171183825
32;reduction;10;10;0.66930000139109324664
32;nested;10;10;0.63740000041434541345
1;single;100;100;0.04430000080901663750
2;reduction;100;100;0.30579999838664662093
2;nested;100;100;0.05650000093737617135
3;reduction;100;100;0.20000000040454324335
3;nested;100;100;0.03920000017387792468
4;reduction;100;100;0.04540000009001232684
4;nested;100;100;0.03029999970749486238
5;reduction;100;100;0.04480000097828451544
5;nested;100;100;0.02260000110254622996
6;reduction;100;100;0.04259999877831432968
6;nested;100;100;0.02040000072156544775
7;reduction;100;100;3.09939999897324014455
7;nested;100;100;0.02140000106010120362
8;reduction;100;100;0.44250000064494088292
8;nested;100;100;0.01699999847915023565
9;reduction;100;100;0.12630000128410756588
9;nested;100;100;0.22820000049250666052
10;reduction;100;100;0.24689999918336980045
10;nested;100;100;0.19699999938893597573
11;reduction;100;100;0.24800000028335489333
11;nested;100;100;0.21350000133679714054
12;reduction;100;100;0.27650000083667691797
12;nested;100;100;0.23279999913938809186
13;reduction;100;100;0.37850000080652534962
13;nested;100;100;0.25339999956486281008
14;reduction;100;100;0.33919999987119808793
14;nested;100;100;0.62939999952504877001
15;reduction;100;100;0.33529999927850440145
15;nested;100;100;0.35120000029564835131
