num_threads;method;num_iterations;elapsed_time
9;static;10000;1.41200000007302151062
9;dynamic;10000;0.80290000005334150046
9;guided;10000;0.91469999961191206239
10;static;10000;1.18629999997210688889
10;dynamic;10000;0.80930000012813252397
10;guided;10000;1.05110000004060566425
11;static;10000;1.03660000013405806385
11;dynamic;10000;0.78489999987141345628
11;guided;10000;0.83129999984521418810
12;static;10000;1.09669999983452726156
12;dynamic;10000;0.87229999962801230140
12;guided;10000;0.91280000015103723854
13;static;10000;1.07719999959954293445
13;dynamic;10000;0.82089999978052219376
13;guided;10000;0.89360000038141151890
14;static;10000;1.25640000032944954000
14;dynamic;10000;1.05579999990368378349
14;guided;10000;0.92010000025766203180
15;static;10000;1.62349999982325243764
15;dynamic;10000;1.75859999990279902704
15;guided;10000;1.61399999979039421305
16;static;10000;1.27999999995154212229
16;dynamic;10000;1.40539999983957386576
16;guided;10000;1.36059999977078405209
1;single;1000000;334.95049999964976450428
2;static;1000000;164.84040000023014727049
2;dynamic;1000000;182.19869999984439346008
2;guided;1000000;159.08050000007278867997
3;static;1000000;115.49259999992500524968
3;dynamic;1000000;118.96089999981995788403
3;guided;1000000;108.44750000023850589059
4;static;1000000;96.90240000008998322301
4;dynamic;1000000;89.33409999963259906508
4;guided;1000000;94.84299999985523754731
5;static;1000000;85.49140000013721873984
5;dynamic;1000000;86.49419999983365414664
5;guided;1000000;81.68209999985265312716
6;static;1000000;71.19280000006256159395
6;dynamic;1000000;70.91709999986051116139
6;guided;1000000;70.15830000000278232619
7;static;1000000;66.07880000001387088560
7;dynamic;1000000;67.50569999985600588843
7;guided;1000000;62.68260000024383771233
8;static;1000000;59.20310000010431394912
8;dynamic;1000000;57.21319999975094106048
8;guided;1000000;57.38220000012006494217
9;static;1000000;65.40130000030330847949
9;dynamic;1000000;55.45110000002750894055
9;guided;1000000;59.92209999976694234647
10;static;1000000;70.06150000006527989171
10;dynamic;1000000;58.11240000002726446837
10;guided;1000000;58.37440000004789908417
11;static;1000000;64.78010000000722357072
11;dynamic;1000000;55.08110000027954811230
11;guided;1000000;59.20999999989362549968
12;static;1000000;63.76520000003438326530
12;dynamic;1000000;54.97830000012982054614
